CLT_ID,,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
913,,$451.93,1519.21,1624.79,3144
914,,$72.75,274.61,246.7,521.31
915,,"$2,878.79",4745.36,2976.11,7721.47
917,,"$1,671.75",4415.1,4161.1,8576.2
919,,"$1,701.14",3862.53,3554.94,7417.47
921,"921, 922","$13,732.44",25728.59,18516.08,44244.67
923,,$434.92,1008.43,1224.42,2232.85
924,,"$3,066.51",5597.45,3796.46,9393.91
929,,$0.00,380.79,638.93,1019.72
939,,"$2,251.57",4515.69,3736.65,8252.34
947,,$660.87,1959.63,1824.29,3783.92
949,,$142.39,1032.13,1380.93,2413.06
953,,$0.00,28.05,56.95,85
955,"955, 966",$40.00,241.5,448.5,690
956,,$325.89,625.7,449.72,1075.42
957,"957, 967","$1,986.35",4108.61,3358.18,7466.79
958,,$0.00,20.15,44.85,65
959,,$0.00,149.79,333.41,483.2
960,,"$1,252.25",3297.64,3068.06,6365.7
964,,$609.71,3077,4225.19,7302.19
971,,$836.80,2013.38,1438.06,3451.44
974,,"$3,358.39",7704.55,7094.22,14798.77
977,,"$1,649.18",3202.82,2427.94,5630.76
978,,$305.19,578.83,410.44,989.27
979,,"$1,510.08",2851.11,2247.1,5098.21
980,,"$1,085.50",2813.45,2690.28,5503.73
982,,$343.09,1298.31,1649.2,2947.51
984,"984, 989","$7,224.03",20109.21,20027.16,40136.37
985,,$747.62,1298.71,826.66,2125.37
986,,$373.71,578.38,313.91,892.29
987,,$202.58,332.69,204.49,537.18
992,991-994,$223.67,408.15,276.73,684.88
,,"$303,467.99",653002.59,595899.45,1248902.05
